,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
0,77165,-37.94209,145.104637,21 Carbine Avenue,CLARINDA,13855000,house,2015,5,3,1,SC_003,3510,19915,2388,38,0,hospital_076,2660,S_170,1959
1,92417,-37.9838562,145.0792389,7/23 Olive Grove,MENTONE,3825000,house,2009,1,1,1,SC_003,1658,19864,1058,42,0,hospital_001,940,S_003,183
2,71604,-37.841371,145.220835,5 Cassia Court,WANTIRNA,10400000,house,2016,4,2,3,SC_032,3262,19871,2541,46,0,hospital_008,1043,S_226,2837
3,9641,-37.844545,144.726479,7 Vassar Court,TRUGANINA,5016000,house,2014,5,2,2,SC_053,1980,46468,3367,33,0,hospital_073,5506,S_007,2931
4,57933,-37.812592,145.165357,29 Esdale Street,BLACKBURN,15750000,house,2013,5,3,2,SC_002,927,19899,1224,37,0,hospital_060,2410,S_202,1581
5,46287,-37.713739,145.129874,9 Woodland Grove,MONTMORENCY,5175000,house,2012,3,1,2,SC_051,5178,19986,756,40,0,hospital_075,2321,S_194,2481
6,15313,-37.737615,144.9114,42 Carnarvon Road,STRATHMORE,11700000,house,2015,3,3,2,SC_082,653,20036,1359,23,0,hospital_184,763,S_197,774
7,9052,-37.881504,144.758632,36A Canonbury Circle,SEABROOK,5194000,house,2016,2,1,1,SC_092,2927,46468,1626,33,0,hospital_073,6945,S_001,2069
8,31968,-37.73905182,145.0122833,155 Murray Road,PRESTON,4280000,house,2009,3,1,2,SC_103,912,20012,1036,26,0,hospital_035,2684,S_084,858
9,53888,-37.82407379,145.0114441,9 Jago Street,RICHMOND,7150000,house,2009,3,1,0,SC_038,1858,19906,517,12,0,hospital_122,823,S_102,1833
10,28667,-37.800168,144.990402,60 Palmer Street,COLLINGWOOD,9763000,house,2010,2,1,0,SC_008,2228,19975,374,10,0,hospital_170,1237,S_060,647
11,38906,-37.75759,145.0331,43a Liberty Parade,IVANHOE,10640000,house,2014,3,1,2,SC_001,1381,19933,1662,22,0,hospital_039,675,S_219,1408
12,72886,-37.845853,145.288089,12 Landscape Drive,BORONIA,7150000,house,2016,3,2,2,SC_022,5225,19869,1657,53,0,hospital_049,1923,S_024,1789
13,22700,-37.744937,144.973278,38 Salisbury Street,COBURG,20800000,house,2016,4,2,1,SC_030,2470,19965,921,28,0,hospital_144,1292,S_173,677
14,34882,-37.706534,145.010937,4 McCrae Street,RESERVOIR,6240000,house,2014,3,1,2,SC_103,3763,20009,197,32,0,hospital_139,1672,S_225,2577
15,48250,-37.80837,145.025288,3 Merrion Grove,KEW,22360000,house,2008,4,2,3,SC_083,1623,19905,1513,18,0,hospital_032,952,S_039,574
16,39081,-37.777423,145.036937,949 Heidelberg Road,IVANHOE,14416000,house,2015,2,1,2,SC_001,1141,19932,305,20,0,hospital_039,1656,S_219,1104
17,25729,-37.57654,144.930088,184 Grand Boulevard,CRAIGIEBURN,3240000,house,2014,2,2,1,SC_005,878,40221,3046,45,0,hospital_104,8299,S_178,1974
18,4956,-37.858136,144.822081,17 Frazer Avenue,ALTONA,3280000,house,2012,3,1,1,SC_033,4120,19925,1087,32,0,hospital_141,6125,S_128,1300
19,52729,-37.812687,144.994203,22 Smith Street,RICHMOND,10500000,house,2013,3,1,0,SC_068,1962,19977,296,7,0,hospital_172,469,S_076,364
20,68249,-37.86017227,145.0169525,1/12 Sutherland Road,ARMADALE,6165000,house,2008,3,2,2,SC_038,2312,19945,464,21,0,hospital_132,978,S_013,944
21,71328,-37.852978,145.235497,24 STOKES ROAD,WANTIRNA,10370000,house,2012,4,3,2,SC_032,4516,19871,2858,46,0,hospital_179,803,S_226,2036
22,89407,-37.95611191,145.0166779,27 McLauchlin Avenue,SANDRINGHAM,21600000,house,2009,5,3,2,SC_079,2278,19948,1243,28,0,hospital_058,631,S_214,1283
23,52501,-37.824183,145.003031,173 Coppin Street,RICHMOND,16800000,house,2010,4,2,0,SC_038,1881,19906,547,12,0,hospital_122,468,S_076,1751
24,78435,-37.915963,145.160437,9 Clunies Ross Crescent,MULGRAVE,7524000,house,2014,5,2,1,SC_073,2487,19914,3144,41,0,hospital_065,3412,S_148,1246
25,29340,-37.773957,145.011413,124A Victoria Road,NORTHCOTE,15840000,house,2016,3,1,2,SC_001,2756,19929,646,15,0,hospital_035,1269,S_105,2638
26,37325,-37.655935,145.036255,34 Narina Way,EPPING,4950000,house,2011,4,2,0,SC_062,4366,20005,669,42,0,hospital_053,1808,S_229,1889
27,49864,-37.76318,145.098679,12 Gisborne Street,BULLEEN,15900000,house,2016,4,2,1,SC_009,656,19935,3412,26,0,hospital_193,1829,S_154,762
28,45904,-37.717363,145.124192,1A McFarlane Street,MONTMORENCY,13160000,house,2016,4,2,2,SC_051,5784,19986,329,40,0,hospital_075,2112,S_210,2479
29,91666,-37.995186,145.037399,441 Beach Road,BEAUMARIS,16520000,house,2012,5,2,2,SC_079,5137,19865,2852,40,0,hospital_055,2126,S_011,2669
30,67786,-37.772846,145.35003,96 Lakeview Drive,LILYDALE,9129000,house,2014,4,2,2,SC_084,3573,19876,1940,59,0,hospital_113,1280,S_081,1437
31,53458,-37.823036,144.991758,53 Tanner Street,RICHMOND,10116000,house,2010,4,1,0,SC_068,1971,19908,182,10,0,hospital_146,602,S_076,1533
32,61030,-37.776714,145.240058,1 Prue Court,WARRANWOOD,9100000,house,2011,4,2,2,SC_032,4132,19879,4024,46,0,hospital_164,3716,S_157,2636
33,88421,-37.953334,145.027171,11 Marshall Avenue,HIGHETT,11248000,house,2010,3,1,2,SC_079,1307,19872,1401,39,0,hospital_058,1168,S_214,986
34,90637,-37.975112,145.078775,39 Voltri Street,CHELTENHAM,6750000,house,2013,4,2,2,SC_003,1006,19865,1411,40,0,hospital_133,1269,S_003,1008
35,88922,-37.94676208,145.0293732,5 Tweed Street,HIGHETT,11025000,house,2009,4,2,0,SC_079,1060,19872,1113,39,0,hospital_110,1659,S_214,653
36,23987,-37.717764,144.973668,14 Argyle Street,FAWKNER,3120000,house,2014,3,1,3,SC_030,2637,19963,1144,32,0,hospital_139,2148,S_030,1580
37,62723,-37.831706,145.243689,218 Canterbury Road,HEATHMONT,5720000,house,2014,3,2,2,SC_032,2482,19871,384,46,0,hospital_105,2290,S_139,2394
38,55453,-37.826751,145.063048,2A Lorne Grove,CAMBERWELL,31200000,house,2016,4,2,2,SC_099,516,19853,383,23,0,hospital_168,2256,S_113,464
39,1326,-37.797469,144.900914,67 Newell Street,FOOTSCRAY,8905000,house,2016,5,2,0,SC_011,2148,20025,450,14,0,hospital_003,1190,S_201,445
40,539,-37.805079,144.887921,2 Henry Street,SEDDON,8520000,house,2010,3,1,3,SC_043,2648,20024,424,17,0,hospital_056,1339,S_201,1010
41,54678,-37.823227,145.02268,7 Austin Street,HAWTHORN,41600000,house,2013,5,3,2,SC_083,1176,19905,157,18,0,hospital_086,843,S_208,1181
42,14133,-37.752914,144.925119,241 Pascoe Vale Road,ESSENDON,12880000,house,2012,4,1,0,SC_082,2720,20036,734,23,0,hospital_128,1713,S_197,1593
43,22113,-37.74328232,144.950943,174 Munro Street,COBURG,10080000,house,2009,3,2,2,SC_030,1213,19965,1096,28,0,hospital_084,1371,S_172,1271
44,89427,-37.954632,145.020883,292 Bluff Road,SANDRINGHAM,16150000,house,2011,2,1,2,SC_079,1875,19948,1511,28,0,hospital_058,787,S_214,1032
45,58753,-37.824859,145.177693,24 East India Avenue,NUNAWADING,9060000,house,2011,3,1,2,SC_088,638,19899,534,37,0,hospital_060,2103,S_202,167
46,61545,-37.808261,145.232152,20/7 Turnbull Court,RINGWOOD,5475000,house,2014,2,1,1,SC_032,580,19902,894,44,0,hospital_105,1013,S_190,375
47,64248,-37.791513,145.257789,31 Kallay Street,CROYDON,5400000,house,2010,3,2,2,SC_022,2379,19878,2053,50,0,hospital_164,1819,S_157,677
48,90890,-37.974926,145.08012,6 Snowdon Drive,CHELTENHAM,7200000,house,2014,3,2,2,SC_003,891,19865,1523,40,0,hospital_133,1380,S_003,1051
49,96079,-37.904972,145.050946,627 North Road,ORMOND,14950000,house,2013,4,2,2,SC_041,2351,19941,1014,33,0,hospital_159,2374,S_107,1797
50,68352,-37.857171,145.021167,2 Hume Street,ARMADALE,13950000,house,2014,3,1,2,SC_038,2169,19945,181,21,0,hospital_092,973,S_235,760
51,2799,-37.8206111,144.8777391,1-3 Hawkhurst Street,YARRAVILLE,9814000,house,2010,3,2,1,SC_033,2807,19996,1196,15,0,hospital_056,3148,S_201,2840
52,57739,-37.82363,145.16526,19 Cromwell Court,BLACKBURN,15730000,house,2016,4,3,2,SC_002,723,19899,911,37,0,hospital_060,1315,S_202,964
53,87706,-37.932352,145.022987,4 Smith Street,HAMPTON,15400000,house,2015,4,2,2,SC_046,1566,19937,1228,37,0,hospital_110,1215,S_214,1456
54,79845,-37.996145,145.15001,2 Emmaline Crescent,KEYSBOROUGH,7150000,house,2011,3,2,2,SC_057,2081,19890,3993,48,0,hospital_096,1863,S_079,1999
55,84356,-37.852204,145.005878,77 Bayview Street,PRAHRAN,10275000,house,2010,3,1,0,SC_066,1212,19946,724,20,0,hospital_132,340,S_115,466
56,26946,-37.59486771,144.9372559,43 Hanson Road,CRAIGIEBURN,2530000,house,2008,3,1,2,SC_110,433,40221,940,45,0,hospital_104,6390,S_178,303
57,7832,-37.778369,144.803682,30 Helene Street,ARDEER,2610000,house,2013,4,1,1,SC_102,2666,20004,1851,28,0,hospital_057,2206,S_130,2150
58,42695,-37.750186,145.071065,94 Rosanna Road,HEIDELBERG,7631000,house,2014,3,1,2,SC_017,660,19936,922,27,0,hospital_066,993,S_100,1026
59,88167,-37.937332,145.046397,26 Clay Street,MOORABBIN,11452000,house,2010,4,2,1,SC_046,747,19937,911,37,0,hospital_110,968,S_069,1394
60,2694,-37.81567,144.886472,11 Cuming Street,YARRAVILLE,9760000,house,2015,3,2,1,SC_043,3290,19996,305,15,0,hospital_056,2509,S_201,1947
61,13006,-37.703452,144.753441,34 Allenby Road,HILLSIDE,4550000,house,2015,3,2,1,SC_048,3449,20000,1845,39,0,hospital_057,8319,S_163,1058
62,46098,-37.7215,145.1234,45 Looker Road,MONTMORENCY,5700000,house,2011,5,2,2,SC_009,5642,19986,710,40,0,hospital_075,2388,S_210,2749
63,20398,-37.761263,144.968968,113 Albion Street,BRUNSWICK,12720000,house,2013,3,1,1,SC_030,3615,19967,729,23,0,hospital_144,588,S_074,1235
64,81370,-37.96628189,145.2191315,51 Hillside Ave,DANDENONG NORTH,8820000,house,2008,3,1,1,SC_112,2343,19889,2759,50,0,hospital_048,661,S_183,1900
65,12169,-37.70054,144.7444854,11 David Circuit,HILLSIDE,2871000,house,2012,3,2,1,SC_048,3619,20000,2616,39,0,hospital_057,9085,S_163,994
66,56546,-37.85118866,145.1082459,3 Judith Street,BURWOOD,5060000,house,2009,3,1,1,SC_042,3262,19849,2438,33,0,hospital_089,1420,S_112,2122
67,51869,-37.79155,145.215773,273-275 Oban Road,DONVALE,16960000,house,2015,4,2,2,SC_032,2624,19902,2947,44,0,hospital_070,2806,S_040,2542
68,71815,-37.85917664,145.2343597,8 Jenkins Court,WANTIRNA,3520000,house,2008,4,2,2,SC_032,5191,19870,3548,50,0,hospital_179,1239,S_226,1495
69,78112,-37.92833,145.179089,48 Whitehaven Crescent,MULGRAVE,3705000,house,2016,3,1,2,SC_073,2529,19913,3259,43,0,hospital_161,3199,S_067,1188
70,46443,-37.69845963,145.1631775,11 Kirwin Avenue,ELTHAM,10400000,house,2009,4,3,3,SC_051,2776,19987,2157,44,0,hospital_075,5102,S_194,1897
71,33102,-37.735244,145.027001,7 Ambon Street,PRESTON,8775000,house,2014,3,1,2,SC_047,470,20011,2265,28,0,hospital_090,2119,S_225,1160
72,83205,-37.889837,145.250907,45 David Street,KNOXFIELD,4510000,house,2012,4,2,0,SC_049,5062,19868,4000,55,0,hospital_002,4116,S_027,1929
73,50913,-37.780486,145.141357,18 Grover Road,DONCASTER,10530000,house,2013,4,3,2,SC_091,1539,19898,4472,35,0,hospital_194,2434,S_188,1690
74,32197,-37.741711,145.019672,2 Marjorie Street,PRESTON,6972000,house,2009,3,1,1,SC_047,1001,20012,1719,26,0,hospital_090,2463,S_084,1567
75,47682,-37.80193329,145.0379334,1 New Street,KEW,8000000,house,2009,3,1,0,SC_083,2074,19904,2178,20,0,hospital_064,1183,S_039,750
76,63324,-37.781258,145.30383,10 Bambra Street,CROYDON,4060000,house,2014,3,2,1,SC_022,2696,19877,848,54,0,hospital_113,4971,S_224,2394
77,28273,-37.796091,144.980848,383 Napier Street,FITZROY,14518000,house,2012,3,1,1,SC_008,2004,19975,1244,10,0,hospital_178,1363,S_200,340
